net,length_um
_2235_,2.86
_3786_,2.86
_0189_,2.84
_0210_,2.84
_0251_,2.84
_0281_,2.84
_0286_,2.84
_0294_,2.84
_0297_,2.84
_0312_,2.84
_0337_,2.84
_0366_,2.84
_0377_,2.84
_0401_,2.84
_0403_,2.84
_0434_,2.84
_0465_,2.84
_0466_,2.84
_0472_,2.84
_0474_,2.84
_0480_,2.84
_0483_,2.84
_0538_,2.84
_0552_,2.84
_0571_,2.84
_0586_,2.84
_0587_,2.84
_0596_,2.84
_0600_,2.84
_0607_,2.84
_0615_,2.84
_0616_,2.84
_0623_,2.84
_1538_,2.84
_3415_,2.84
_3693_,2.84
net380,2.84
_0253_,2.77
_0620_,2.77
_0184_,2.765
net292,2.765
_0094_,2.76
_1854_,2.76
_2888_,2.76
sum5\[2\],2.76
_2895_,2.75
_0257_,2.74
_0529_,2.74
_0567_,2.74
_0622_,2.74
_1071_,2.74
_1645_,2.74
_1932_,2.74
_3323_,2.74
_3344_,2.74
net11,2.74
net67,2.74
net89,2.74
net121,2.74
net164,2.74
net239,2.74
_0356_,2.72
_1490_,2.72
_2199_,2.72
_0190_,2.69
_0201_,2.69
_0239_,2.69
_0275_,2.69
_0326_,2.69
_0338_,2.69
_0370_,2.69
_0392_,2.69
_0491_,2.69
_0568_,2.69
_0583_,2.69
_0247_,2.67
_0255_,2.67
_0259_,2.67
_0374_,2.67
_0424_,2.67
_0066_,2.64
_0087_,2.64
_0703_,2.64
_0894_,2.64
_1142_,2.64
_2625_,2.64
_2817_,2.64
_2827_,2.64
_3102_,2.64
_3183_,2.64
_3249_,2.64
_0003_,2.62
_0074_,2.62
_0085_,2.62
_0148_,2.62
_0262_,2.62
_0334_,2.62
_0628_,2.62
_0642_,2.62
_0996_,2.62
_1084_,2.62
_1372_,2.62
_1996_,2.62
_2116_,2.62
_2461_,2.62
_2690_,2.62
_3240_,2.62
_3345_,2.62
_3348_,2.62
_3483_,2.62
_3572_,2.62
bit_sum4\[8\],2.62
s3\[12\],2.62
net74,2.62
net105,2.62
net126,2.62
net228,2.62
net252,2.62
net362,2.62
net442,2.62
_0591_,2.57
_4080_,2.55
_0909_,2.52
_1222_,2.52
_1291_,2.52
_2735_,2.52
_2863_,2.52
_2867_,2.52
_3970_,2.52
_0194_,2.5
_0258_,2.5
_0328_,2.5
_0335_,2.5
_0455_,2.5
_0468_,2.5
_0541_,2.5
_0631_,2.5
_0675_,2.5
_0692_,2.5
_0695_,2.5
_0706_,2.5
_0924_,2.5
_1186_,2.5
_1555_,2.5
_1673_,2.5
_2159_,2.5
_2335_,2.5
_2584_,2.5
_2691_,2.5
_2782_,2.5
_2850_,2.5
_3278_,2.5
_3281_,2.5
_3779_,2.5
_3934_,2.5
_4031_,2.5
_4048_,2.5
_4077_,2.5
_4216_,2.5
net82,2.5
net256,2.5
_0862_,2.48
_0291_,2.43
_0327_,2.43
_0399_,2.43
_0414_,2.43
_0431_,2.43
_3730_,2.4
_3995_,2.4
_0192_,2.38
_0193_,2.38
_0197_,2.38
_0205_,2.38
_0226_,2.38
_0263_,2.38
_0278_,2.38
_0280_,2.38
_0282_,2.38
_0305_,2.38
_0306_,2.38
_0319_,2.38
_0324_,2.38
_0332_,2.38
_0349_,2.38
_0353_,2.38
_0367_,2.38
_0383_,2.38
_0387_,2.38
_0444_,2.38
_0463_,2.38
_0469_,2.38
_0506_,2.38
_0508_,2.38
_0511_,2.38
_0514_,2.38
_0516_,2.38
_0531_,2.38
_0533_,2.38
_0536_,2.38
_0548_,2.38
_0555_,2.38
_0563_,2.38
_0570_,2.38
_0576_,2.38
_0578_,2.38
_0595_,2.38
_0610_,2.38
_0619_,2.38
_2257_,2.38
_2504_,2.38
_3349_,2.38
net218,2.38
_1003_,2.3
_1066_,2.3
_1137_,2.3
_2447_,2.3
_3744_,2.3
sum3\[0\],2.3
sum3\[2\],2.3
sum5\[0\],2.3
_0266_,2.28
_0333_,2.28
_0450_,2.28
_0561_,2.28
_0599_,2.28
_1707_,2.28
net133,2.28
net307,2.28
net314,2.28
_2202_,2.255
_0195_,2.23
_0214_,2.23
_0215_,2.23
_0217_,2.23
_0220_,2.23
_0248_,2.23
_0250_,2.23
_0261_,2.23
_0271_,2.23
_0272_,2.23
_0273_,2.23
_0283_,2.23
_0284_,2.23
_0285_,2.23
_0287_,2.23
_0299_,2.23
_0317_,2.23
_0322_,2.23
_0323_,2.23
_0331_,2.23
_0346_,2.23
_0347_,2.23
_0358_,2.23
_0360_,2.23
_0368_,2.23
_0373_,2.23
_0378_,2.23
_0386_,2.23
_0394_,2.23
_0400_,2.23
_0407_,2.23
_0411_,2.23
_0416_,2.23
_0417_,2.23
_0425_,2.23
_0432_,2.23
_0435_,2.23
_0438_,2.23
_0443_,2.23
_0445_,2.23
_0448_,2.23
_0449_,2.23
_0451_,2.23
_0454_,2.23
_0461_,2.23
_0482_,2.23
_0486_,2.23
_0488_,2.23
_0497_,2.23
_0498_,2.23
_0510_,2.23
_0553_,2.23
_0588_,2.23
_0309_,2.21
_0314_,2.21
_0453_,2.21
_0524_,2.21
_0542_,2.21
_0566_,2.21
_0593_,2.21
_2696_,2.19
_0677_,2.18
_0686_,2.18
_0701_,2.18
_0707_,2.18
_0710_,2.18
_0711_,2.18
_0718_,2.18
_0749_,2.18
_0850_,2.18
_1095_,2.18
_1347_,2.18
_1711_,2.18
_2141_,2.18
_2148_,2.18
_2275_,2.18
_2687_,2.18
_3018_,2.18
_3362_,2.18
_3772_,2.18
sum2\[2\],2.18
net291,2.18
_0279_,2.16
_0345_,2.16
_0350_,2.16
_0408_,2.16
_0513_,2.16
_0549_,2.16
_0575_,2.16
_0634_,2.16
_0859_,2.16
_0898_,2.16
_1132_,2.16
_1282_,2.16
_1303_,2.16
_1625_,2.16
_1665_,2.16
_2085_,2.16
_2219_,2.16
_2330_,2.16
_2375_,2.16
_2556_,2.16
_2825_,2.16
_3014_,2.16
_3246_,2.16
_3258_,2.16
_3488_,2.16
_3500_,2.16
_3888_,2.16
_4097_,2.16
_4218_,2.16
bit_sum7\[5\],2.16
sum3\[1\],2.16
net129,2.16
net131,2.16
net166,2.16
net289,2.16
net351,2.16
net376,2.16
net409,2.16
net425,2.16
_1903_,2.11
_1033_,2.06
_1153_,2.06
_1212_,2.06
_1747_,2.06
_2011_,2.06
_2034_,2.06
_2685_,2.06
_2940_,2.06
_3274_,2.06
_3568_,2.06
net270,2.06
_0231_,2.04
_0233_,2.04
_0235_,2.04
_0264_,2.04
_0336_,2.04
_0372_,2.04
_0385_,2.04
_0467_,2.04
_0523_,2.04
_0565_,2.04
_0618_,2.04
_0624_,2.04
_1024_,2.04
_1196_,2.04
_1301_,2.04
_1404_,2.04
_1741_,2.04
_2380_,2.04
_2422_,2.04
_2423_,2.04
_2435_,2.04
_2572_,2.04
_2733_,2.04
_2763_,2.04
_2966_,2.04
_3761_,2.04
_3912_,2.04
_4089_,2.04
_4112_,2.04
net255,1.875
net88,1.845
_0702_,1.84
_2062_,1.84
_2764_,1.84
_2770_,1.84
_4215_,1.84
bit_sum1\[4\],1.84
bit_sum3\[1\],1.84
bit_sum4\[0\],1.84
bit_sum4\[6\],1.84
net62,1.84
net123,1.84
net221,1.84
net235,1.84
net313,1.84
net358,1.84
_0203_,1.82
_0256_,1.82
_0315_,1.82
_0321_,1.82
_0325_,1.82
_0330_,1.82
_0339_,1.82
_0343_,1.82
_0362_,1.82
_0363_,1.82
_0369_,1.82
_0375_,1.82
_0379_,1.82
_0380_,1.82
_0382_,1.82
_0402_,1.82
_0405_,1.82
_0410_,1.82
_0420_,1.82
_0422_,1.82
_0437_,1.82
_0440_,1.82
_0446_,1.82
_0456_,1.82
_0481_,1.82
_0494_,1.82
_0500_,1.82
_0503_,1.82
_0504_,1.82
_0507_,1.82
_0522_,1.82
_0530_,1.82
_0537_,1.82
_0539_,1.82
_0550_,1.82
_0573_,1.82
_0579_,1.82
_0580_,1.82
_0581_,1.82
_0614_,1.82
_0621_,1.82
_3497_,1.82
net45,1.82
net48,1.82
net148,1.82
net249,1.82
_0354_,1.75
_0479_,1.75
_0495_,1.75
_0584_,1.75
_0690_,1.72
_0812_,1.72
_1308_,1.72
_2262_,1.72
_3060_,1.72
_3416_,1.72
_3977_,1.72
_3984_,1.72
_4192_,1.72
_4204_,1.72
net19,1.72
net23,1.72
net320,1.72
net324,1.72
net374,1.72
net421,1.72
_0041_,1.7
_0230_,1.7
_0234_,1.7
_0237_,1.7
_0240_,1.7
_0242_,1.7
_0288_,1.7
_0300_,1.7
_0509_,1.7
_0574_,1.7
_0577_,1.7
_0606_,1.7
_1128_,1.7
_1546_,1.7
_1590_,1.7
_1657_,1.7
_1812_,1.7
_1855_,1.7
_2303_,1.7
_2676_,1.7
_3035_,1.7
_3425_,1.7
_3533_,1.7
_3549_,1.7
_3552_,1.7
_3755_,1.7
_3773_,1.7
_3776_,1.7
_3816_,1.7
bit_sum4\[7\],1.7
bit_sum4\[9\],1.7
s6\[15\],1.7
sum1\[0\],1.7
net127,1.7
_1634_,1.62
_1748_,1.6
_2450_,1.6
_3798_,1.48
_3896_,1.48
_4107_,1.48
_0720_,1.38
_0768_,1.38
_0917_,1.38
_2424_,1.38
_2640_,1.38
_2665_,1.38
_2738_,1.38
_3363_,1.38
_3647_,1.38
final_sum\[8\],1.38
s5\[13\],1.38
net441,1.38
_0191_,1.36
_0202_,1.36
_0206_,1.36
_0213_,1.36
_0216_,1.36
_0218_,1.36
_0221_,1.36
_0243_,1.36
_0244_,1.36
_0267_,1.36
_0276_,1.36
_0290_,1.36
_0292_,1.36
_0302_,1.36
_0303_,1.36
_0304_,1.36
_0310_,1.36
_0340_,1.36
_0341_,1.36
_0359_,1.36
_0365_,1.36
_0412_,1.36
_0427_,1.36
_0428_,1.36
_0457_,1.36
_0471_,1.36
_0477_,1.36
_0484_,1.36
_0485_,1.36
_0499_,1.36
_0502_,1.36
_0512_,1.36
_0520_,1.36
_0525_,1.36
_0526_,1.36
_0544_,1.36
_0546_,1.36
_0547_,1.36
_0557_,1.36
_0558_,1.36
_0572_,1.36
_0582_,1.36
_0585_,1.36
_0589_,1.36
_0603_,1.36
_2904_,1.36
_3087_,1.36
net51,1.36
_0629_,1.26
_0691_,1.26
_0694_,1.26
_2428_,1.26
_3017_,1.26
_3929_,1.26
_4113_,1.26
_4114_,1.26
_4116_,1.26
_0647_,1.14
_0651_,1.14
_0667_,1.14
_2355_,1.14
_3592_,1.14
sum5\[6\],1.14
_1173_,1.1
_0995_,0.92
_1220_,0.92
_1276_,0.92
_2064_,0.92
_2686_,0.92
_3064_,0.92
_3682_,0.92
_3853_,0.92
_4090_,0.92
bit_sum0\[3\],0.92
bit_sum3\[7\],0.92
bit_sum4\[5\],0.92
sum2\[0\],0.92
_3164_,0.8
_3268_,0.8
_4096_,0.8
_0732_,0.46
_0866_,0.46
_1164_,0.46
_1841_,0.46
_2264_,0.46
_2463_,0.46
_3285_,0.46
_3334_,0.46
_3571_,0.46
_3801_,0.46
bit_sum0\[2\],0.46
bit_sum3\[9\],0.46
bit_sum5\[8\],0.46
bit_sum6\[9\],0.46
carry2\[2\],0.46
final_sum\[7\],0.46
s0\[0\],0.46
net437,0.46
net449,0.46
