net,length_um
_2542_,38.28
_1383_,38.24
_1292_,38.2
_2117_,38.18
_1605_,38.17
net80,38.16
_1805_,38.12
_2753_,38.12
_3329_,38.1
_3658_,38.08
_1418_,38.04
s2\[5\],38.02
_3999_,38
final_sum\[12\],37.98
_1442_,37.96
carry2\[9\],37.86
_1375_,37.8
_1776_,37.8
_1562_,37.78
_1723_,37.76
net9,37.72
_1714_,37.7
_3174_,37.68
_2528_,37.675
_0841_,37.64
s7\[14\],37.6
_0745_,37.57
_0846_,37.56
_1716_,37.56
_1779_,37.56
final_sum\[3\],37.52
_0834_,37.5
_3191_,37.48
sh0\[3\],37.48
_3762_,37.38
clknet_leaf_9_clk,37.38
_0951_,37.37
_2743_,37.345
_2974_,37.2
_2928_,37.12
_2152_,37.06
_3504_,37.06
_0739_,36.92
_1650_,36.9
_3666_,36.9
_3125_,36.885
_1573_,36.88
_3376_,36.88
_2224_,36.84
clknet_leaf_21_clk,36.84
_2703_,36.68
_3178_,36.68
_3620_,36.62
_3482_,36.56
net254,36.52
_3567_,36.48
_2539_,36.4
_2946_,36.38
s0\[4\],36.38
_3426_,36.24
s2\[4\],36.16
_2973_,36.14
_2376_,36.06
_2677_,35.98
_1893_,35.96
_3096_,35.9
_3638_,35.88
net450,35.88
_0162_,35.82
_1518_,35.82
_3973_,35.82
_2773_,35.805
sh7\[3\],35.78
_0870_,35.7
_1956_,35.66
_1444_,35.62
_2560_,35.62
_3161_,35.59
_2053_,35.58
_3846_,35.495
carry3\[9\],35.42
_2371_,35.4
_0092_,35.38
_3450_,35.355
_1545_,35.32
_1018_,35.28
_3878_,35.24
_1790_,35.18
_2513_,35.18
_3561_,35.12
_1448_,35.1
_1305_,35.06
_1808_,35.055
carry3\[12\],35.04
_1775_,35.02
_2025_,35
_2044_,35
_3337_,35
_3770_,35
_1971_,34.98
_2145_,34.98
_1315_,34.94
_2125_,34.94
_1917_,34.82
_2138_,34.82
_3566_,34.7
_3738_,34.68
_3335_,34.62
_3375_,34.59
_2726_,34.58
_1312_,34.54
_3032_,34.54
_1307_,34.52
_3531_,34.52
_3741_,34.52
_2043_,34.35
_1953_,34.34
_0061_,34.22
_3020_,34.17
_3919_,34.16
_1271_,34.14
_0011_,34.12
_2396_,34.08
_1624_,34.06
clknet_leaf_59_clk,34.06
_3930_,34.02
_1653_,34
sh13\[6\],33.94
_2802_,33.92
_3952_,33.9
_1862_,33.82
carry2\[11\],33.82
_2048_,33.78
_3534_,33.78
_1955_,33.74
_3138_,33.74
_1990_,33.72
_2076_,33.72
_1817_,33.64
_4032_,33.6
_0974_,33.58
_3407_,33.56
_0997_,33.54
_3529_,33.54
sh8\[7\],33.54
_1414_,33.52
_3617_,33.52
_2238_,33.48
_2872_,33.46
_2907_,33.46
_2443_,33.42
_3368_,33.36
_3828_,33.36
_0161_,33.3
_2734_,33.3
_3943_,33.28
_0959_,33.26
_3398_,33.24
net196,33.24
_2401_,33.22
_3293_,33.15
_2558_,33.12
_3372_,33.1
_1792_,33.06
_2332_,33.04
net453,33.02
_2227_,32.82
net237,32.82
_0773_,32.785
_2039_,32.76
_3313_,32.76
_1787_,32.71
_1452_,32.695
_2068_,32.64
_2987_,32.64
_1713_,32.57
_3094_,32.54
clknet_leaf_17_clk,32.48
_2728_,32.42
_3760_,32.42
_3946_,32.42
sh11\[7\],32.4
_1405_,32.38
_3735_,32.34
_1696_,32.32
_2203_,32.32
_0100_,32.26
_0889_,32.26
_3046_,32.26
final_sum\[11\],32.22
_3073_,32.16
_1806_,32.08
_2460_,32.08
s6\[13\],32.08
clknet_leaf_19_clk,32.08
_2953_,32.015
_0882_,32
_0957_,31.94
_2976_,31.94
_3511_,31.935
_3499_,31.92
net323,31.86
x[7],31.81
_3453_,31.8
_3250_,31.78
_1491_,31.76
_3148_,31.76
_1369_,31.7
_1864_,31.7
_3434_,31.7
